x,y,z,vol,id,STM,WUS,CUC1_2_3,PI,LFY,SEP1,SUP,SEP3,ANT,ETTIN,CLV3,MP,AS1,SEP2,AHP6,AP1,ATML1,PHB_PHV,FIL,PUCHI,AP2,SVP,AP3,REV,AG,curv1,curv2,gauss_curv,mean_curv,dev_curv
61.987038413525866,62.92130244134263,45.60528013555949,1024041.1830844355,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03660502728298694,0.03104430160975246,0.0011360609855810056,0.0338246644463697,0.00278036283661724
29.119850364211917,69.59783967037126,6.168633380500521,667.8788301249274,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.005836481232983346,-0.016864773999178264,-0.00010623387200400957,-0.005514146383097459,0.011350627616080805
34.96484410664894,62.574037614095744,2.1630703154842914,252.15095058329933,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009383576484840625,-0.01067613997368776,-8.352648348215462e-05,-0.0006462817444235671,0.01002985822926419
33.85101191009346,72.83055808915887,1.3498556717701622,132.18159433573013,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013883167433563331,-0.011469485480910577,-0.00010416387005945681,0.001206840976326377,0.012676326457236953
32.83929557980574,79.51754451147401,1.8042409787165274,82.67085162426271,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03551453051200103,0.0038916986154921584,0.00012970822221335926,0.019703114563746595,0.01581141594825444
39.41688083843736,77.87316933812303,2.8624162185068545,373.36447270545716,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03429207174879414,0.0012483053917081508,4.705227910886065e-05,0.017770188570251148,0.016521883178542994
40.39516692939905,67.62520325343709,0.6293909041307975,81.63845866449766,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009449955135768627,-0.016216599325096358,-0.00013806093738441422,-0.003383322094663864,0.012833277230432491
40.685950684514864,85.59358868232,6.238065642051084,699.5212331481536,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01977223668214246,-0.0008551967774038764,-1.7253383563270916e-05,0.009458519952369293,0.01031371672977317
40.444051553490944,57.96364816677616,5.957846078368575,733.3960756484786,9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010425768856260115,-0.007795435410286959,-5.210022465116421e-05,0.0013151667229865777,0.009110602133273537
46.859943161918395,90.2276830651396,0.9170685525211586,86.28863891916588,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04300177872858439,-0.004458151515214419,-0.00020820290633655845,0.019271813606684982,0.023729965121899402
46.31966878940915,73.50703504138713,2.063478478911801,225.95287624532983,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0311377132440413,0.00015372491809701033,1.431711199832327e-05,0.015645719081069157,0.015491994162972145
45.69061104612798,82.58720793161841,2.849688276192102,262.4131130807929,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022272205761830165,1.7044915422729676e-05,-2.2559476539506944e-06,0.011144625338626448,0.011127580423203718
47.09201181893455,67.964329568138,1.6297656024806932,173.91850629888123,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013883167433563331,-0.011469485480910575,-0.00010416387005945681,0.001206840976326377,0.012676326457236955
48.280040463323,61.14033576653807,2.7048918412659284,349.9282701316455,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075482518862897184,-0.017515473301377812,-0.00014137934176328913,-0.004983610707544048,0.012531862593833765
