x,y,z,vol,id,WUS,SEP3,AS1,AP1,LFY,gauss_curv,SEP2,ATML1,curv1,STM,AHP6,AG,ANT,curv2,MP,mean_curv,PUCHI,SEP1,SVP,SUP,AP2,FIL,CUC1_2_3,REV,AP3,CLV3,PHB_PHV,PI,dev_curv,ETTIN
47.09201181893455,67.964329568138,1.6297656024806932,173.91850629888123,13,0.00107738,0.0197788,0.103305,0.161757,0.103305,-0.0008230711582283426,0.178149,0.0388855,0.03939893680934719,0.0689997,0.00663262,0.0165455,0.103305,-0.017149846581001143,0.168591,0.011124545114173016,0.0,0.178149,0.0,0.0,0.161757,0.0848232,0.0179397,0.0707042,0.0210928,0.00100042,0.0707042,0.0210928,0.028274391695174168,0.104602
48.280040463323,61.14033576653807,2.7048918412659284,349.9282701316455,14,0.00107743,0.0197864,0.101747,0.332807,0.101747,-0.0009103784921691487,0.349199,0.0366279,0.0332815785645663,0.244031,0.00662588,0.0165455,0.101747,-0.024670901493251265,0.341558,0.004305338535657522,0.0,0.349199,0.0,0.0,0.332807,0.0831751,0.0179571,0.195878,0.0210928,0.00100042,0.195878,0.0210928,0.02897624002890879,0.102961
51.67039595796278,85.9356539368172,2.7211785538889948,305.7912651338269,15,0.00107738,0.0197776,0.185804,0.234049,0.185804,5.649870455581229e-05,0.250441,0.11073,0.03524122138445215,0.0532708,0.00808274,0.0165455,0.185804,0.001220591122606377,0.23538,0.018230906253529265,0.0,0.250441,0.0,0.0,0.234049,0.172854,0.0179316,0.0530366,0.0210864,0.00100042,0.0530366,0.0210864,0.017010315130922885,0.192631
53.6326254493084,80.0433441606831,4.625492179587088,456.75888178870053,16,0.00107738,0.0197781,0.807052,0.85518,0.807052,0.0003106126783767113,0.871571,0.05372,0.03922992949324084,0.0536285,0.0173812,0.0165455,0.807052,0.004693122213450793,0.856986,0.021961525853345813,0.0,0.871571,0.0,0.0,0.85518,0.789771,0.0179608,0.0571891,0.0211036,0.00100042,0.0571891,0.0211036,0.01726840363989502,0.80955
53.81275285330003,75.25184748133172,2.2581970108682654,226.0764104456436,17,0.00107738,0.019779,0.841882,0.891228,0.841882,4.186188214385044e-05,0.907619,0.0393715,0.036950353865488686,0.0597262,0.00708791,0.0165455,0.841882,-0.004557720763947445,0.897909,0.016196316550770622,0.0,0.907619,0.0,0.0,0.891228,0.815435,0.0179501,0.0669752,0.0210986,0.00100042,0.0669752,0.0210986,0.020754037314718067,0.835214
53.15555291209706,92.8348579122357,1.5499002624046108,50.91373827217375,18,0.00107738,0.0197776,0.124058,0.164021,0.124058,0.0010117857058794455,0.180412,0.113646,0.042969522551313706,0.0532536,0.00806247,0.0165455,0.124058,0.0221345322145761,0.173618,0.03255202738294491,0.0,0.180412,0.0,0.0,0.164021,0.111268,0.0179308,0.0528838,0.0210859,0.00100042,0.0528838,0.0210859,0.010417495168368809,0.131045
57.116973861249875,67.62884529776736,0.9979737745943065,173.10671012539075,19,0.00107738,0.0197797,0.231874,0.281567,0.231874,0.00039476966269664187,0.297959,0.0358494,0.05019358183930075,0.0632623,0.0067227,0.0165455,0.231874,0.00849743152159628,0.291436,0.029345506680448507,0.0,0.297959,0.0,0.0,0.281567,0.143718,0.0179638,0.0702157,0.0211022,0.00100042,0.0702157,0.0211022,0.02084807515885223,0.163497
55.34257912427184,58.7152848038835,0.9476830091659393,47.26065549146666,20,0.00107738,0.0197779,0.0361902,0.0864047,0.0361902,-0.0009235355054952241,0.102796,0.0356312,0.036404700317621545,0.0639889,0.00654136,0.0165455,0.0361902,-0.02310027610105273,0.0964848,0.006652212108284405,0.0,0.102796,0.0,0.0,0.0864047,0.023375,0.017931,0.0634012,0.021086,0.00100042,0.0634012,0.021086,0.029752488209337142,0.0431529
57.14328857036238,89.69223830015903,4.229247586771175,310.7061615320246,21,0.00107738,0.0197776,0.288504,0.335817,0.288504,0.0015579609743951975,0.352209,0.168632,0.04659418092122293,0.0532676,0.0235944,0.0165455,0.288504,0.03289560175123592,0.338077,0.039744891336229424,0.0,0.352209,0.0,0.0,0.335817,0.275275,0.0179358,0.053311,0.0210876,0.00100042,0.053311,0.0210876,0.006849289584993509,0.295052
61.11006513168238,87.35930277636133,2.88986044595108,376.2675264128307,22,0.00107738,0.0197776,0.193044,0.28808,0.193044,0.0024877919472066677,0.304472,0.159147,0.058624384896153736,0.0532784,0.0192582,0.0165455,0.193044,0.04283187602666262,0.242628,0.050728130461408186,0.0,0.304472,0.0,0.0,0.28808,0.179847,0.0179364,0.0532682,0.0210873,0.00100042,0.0532682,0.0210873,0.007896254434745564,0.199625
