x,y,z,vol,id,SEP3,PI,curv1,SEP2,CLV3,dev_curv,WUS,AP2,PHB_PHV,PUCHI,AHP6,ATML1,curv2,SEP1,AG,AP1,REV,ETTIN,SVP,ANT,LFY,AP3,MP,FIL,gauss_curv,SUP,mean_curv,CUC1_2_3,AS1,STM
18.25542124003243,14.822093095478824,2.5628381834971226,194.74461937972833,2,0.0,0.0,0.04054198020932735,0.0038088,0.0,0.042218787240425895,7.30112e-09,0.000152569,6.48126e-06,0.0,1.281e-07,0.0112159,-0.04389559427152444,0.0038088,0.0,0.000152569,6.48126e-06,0.00429281,6.45974e-07,0.00430023,0.00429281,0.0,0.162688,6.53048e-07,-0.0019705534757420234,0.0,-0.0016768070310985363,0.15838,6.53048e-07,0.16202
16.919865053428317,35.134169532235084,2.091452135483739,156.4514075472875,3,0.0,0.0,0.09950492254278626,0.0152479,0.0,0.055545414237555636,4.58555e-07,0.0137388,4.00438e-05,0.0,3.41702e-05,0.0753288,-0.011585905932325015,0.0152479,0.0,0.0137388,4.00438e-05,0.021553,0.0038179,0.0215626,0.021553,0.0,0.021934,0.0038305,-0.0012108695642315407,0.0,0.04395950830523062,8.34213e-05,0.0038305,0.0049874
19.01211468551237,19.72887735689046,0.9474214013209248,28.912628773802666,4,0.0,0.0,0.039788903148623475,0.00607366,0.0,0.04997396116639186,8.90732e-09,0.000357878,3.17783e-06,0.0,4.01333e-07,0.0109589,-0.060159019184160244,0.00607366,0.0,0.000357878,3.17783e-06,0.00917711,5.95509e-06,0.00918944,0.00917711,0.0,0.0922017,5.9847e-06,-0.0024951637230239266,0.0,-0.010185058017768386,0.0829907,5.9847e-06,0.088459
20.501561771224225,13.182129417982539,6.95577954346685,49.99572139074197,5,0.0,0.0,0.04967158417118101,0.00617347,0.0,0.025886462496521524,1.01303e-08,0.000242281,8.03991e-06,0.0,2.11612e-07,0.0792007,-0.002101340821862037,0.00617347,0.0,0.000242281,8.03991e-06,0.00644143,3.08557e-07,0.00645862,0.00644143,0.0,0.856033,3.16506e-07,-0.00021182598713669686,0.0,0.023785121674659487,0.849561,3.16506e-07,0.855515
20.038913420560746,45.19861312016021,0.750288504499945,62.60842613691094,6,0.0,0.0,0.036636744929187386,0.0867083,0.0,0.016507956245090286,3.04906e-07,0.0860845,2.63608e-05,0.0,4.87001e-06,0.079134,0.003620832439006812,0.0867083,0.0,0.0860845,2.63608e-05,0.0869149,0.0852857,0.0869151,0.0869149,0.0,0.0869265,0.0854112,0.0002101751945602358,0.0,0.020128788684097097,1.39924e-06,0.0854112,0.0859158
21.627408372402236,28.263322972960896,1.4561658265276523,124.68745303189874,7,0.0,0.0,0.09411687940998839,0.0819453,0.0,0.05552398523867613,3.30092e-06,0.0166451,0.000455541,0.0,5.36583e-05,0.0173108,-0.016931091067363877,0.0819453,0.0,0.0166451,0.000455541,0.146064,0.00347817,0.146173,0.146064,0.0,0.157672,0.00349674,-0.0016036132522697492,0.0,0.03859289417131225,0.0088209,0.00349674,0.0266539
23.293569911778036,40.450929592980145,2.19659360065075,225.44977541127076,8,0.0,0.0,0.0722974931477938,0.155123,0.0,0.02816689192598748,1.12922e-05,0.14182,0.000721735,0.0,4.7394e-05,0.078618,0.015963709295818834,0.155123,0.0,0.14182,0.000721735,0.157961,0.131884,0.157966,0.157961,0.0,0.158191,0.135132,0.0011284911573990846,0.0,0.04413060122180632,3.56251e-05,0.135132,0.145504
20.994024849379894,34.21419880417754,4.979680038952658,313.03284297855606,9,0.0,0.0,0.0968683493656202,0.147775,0.0,0.05310704873764854,1.18698e-05,0.126452,0.00084364,0.0,0.000479242,0.123092,-0.009345748109676887,0.147775,0.0,0.126452,0.00084364,0.199669,0.0676197,0.199764,0.199669,0.0,0.203552,0.0679056,-0.0009757393268418863,0.0,0.04376130062797165,0.0011986,0.0679056,0.0838721
23.80353559413754,14.234125204058625,0.41058624083240197,24.71458566241211,10,0.0,0.0,0.04054198020932735,0.000665096,0.0,0.042218787240425895,4.34433e-09,1.61122e-05,5.53109e-06,0.0,8.40748e-09,0.000408935,-0.04389559427152443,0.000665096,0.0,1.61122e-05,5.53109e-06,0.000678552,1.23792e-08,0.000679385,0.000678552,0.0,0.0207513,1.29262e-08,-0.001970553475742023,0.0,-0.0016768070310985358,0.0200711,1.29262e-08,0.0207195
24.211550763440172,51.04366496829907,2.2308087147774067,145.46405135088253,11,0.0,0.0,0.030908335689828547,0.0932503,0.0,0.013397218634195737,2.5136e-07,0.0922938,4.62696e-05,0.0,6.59969e-06,0.0830277,0.004113898421437069,0.0932503,0.0,0.0922938,4.62696e-05,0.0932507,0.0917077,0.0932508,0.0932507,0.0,0.0932531,0.0924364,0.00015746055936337308,0.0,0.017511117055632804,2.02379e-08,0.0924364,0.0927133
24.427291082952276,14.341240221002126,3.788031658067945,144.21021104106455,12,0.0,0.0,0.043875332482908154,0.0171718,0.0,0.02942485772111637,2.45312e-07,0.000596692,0.00020563,0.0,5.02489e-07,0.0118061,-0.01497438295932459,0.0171718,0.0,0.000596692,0.00020563,0.0176446,6.93478e-07,0.0176816,0.0176446,0.0,0.365384,7.29184e-07,-0.0008680794583567129,0.0,0.014450474761791779,0.347666,7.29184e-07,0.364238
