id,x,y,z,AG,AHP6,ANT,AP1,AP2,AP3,AS1,CLV3,CUC1_2_3,ETTIN,FIL,LFY,MP,PHB_PHV,PI,PUCHI,REV,SEP1,SEP2,SEP3,STM,SUP,SVP,WUS,vol,curv1,curv2,mean_curv,gauss_curv,dev_curv,dist_to_center,gene_PC1_value,gene_PC2_value,shape_PC1_value,shape_PC2_value,gene_cluster_gmm,gene_cluster_kmeans,shape_cluster_gmm,shape_cluster_kmeans
113,52.35406636138916,58.05844050018311,7.963919211872328,0.0,0.00521159,0.812609,0.794061,0.794061,0.0,0.747129,0.0,0.00122421,0.812213,0.747129,0.812213,0.814113,0.0334206,0.0,0.0,0.0334206,0.812197,0.812197,0.0,0.80113,0.0,0.736266,0.00169716,229.49946876686576,-0.0175035763750995,-0.0456309910892534,-0.0315672837321765,0.0007949072676117,0.0140637073570769,33.62942795609039,4.341401743978762,0.06242563110329441,0.2895151001854728,1.2847800232869695,1,1,0,0
114,58.89340308341912,52.15567827805448,7.125031610780999,0.0,0.00521662,0.755741,0.734549,0.734549,0.0,0.684069,0.0,0.00122421,0.755344,0.684069,0.755344,0.757244,0.0336223,0.0,0.0,0.0336223,0.755329,0.755329,0.0,0.743017,0.0,0.675322,0.00169717,167.80561132837704,-0.0096885750204608,-0.0180936117250065,-0.0138910933727336,0.0001747131064059,0.0042025183522728,32.28786256543413,3.9606046326429887,0.17418871627696497,-2.652098780510136,0.23719501353249461,1,1,0,0
116,67.55331457202504,39.732745490605424,7.274848898166288,0.0,0.0143154,0.848991,0.83456,0.83456,0.0,0.0831199,0.0,0.00122413,0.848595,0.0831199,0.848595,0.850495,0.0339229,0.0,0.0,0.0339229,0.848579,0.848579,0.0,0.141382,0.0,0.0801627,0.001697,123.00951140671953,-0.0162033382684764,-0.0331719676622024,-0.0246876529653394,0.0005353536064752,0.0084843146968629,31.82549155537299,0.10449937702147952,1.2436601665963412,-0.9076956060355489,0.5559757366460236,3,3,0,0
128,65.01223756170148,44.05756072658951,7.225161777454482,0.0,0.00601674,0.810285,0.789149,0.789149,0.0,0.613969,0.0,0.00122421,0.809889,0.613969,0.809889,0.811789,0.0337319,0.0,0.0,0.0337319,0.809873,0.809873,0.0,0.678049,0.0,0.610309,0.00169715,155.32022763122131,-0.0129267698745682,-0.0316144824248668,-0.0222706261497175,0.0004102286489151,0.0093438562751492,31.522932349581748,3.510116471729604,0.2841170058305798,-1.3708842391147011,0.7624052192481201,1,1,0,0
144,63.00668150594524,48.40161744518381,8.738826679855478,0.0,0.00526485,0.856434,0.835141,0.835141,0.0,0.768202,0.0,0.00122421,0.856038,0.768202,0.856038,0.857937,0.0340308,0.0,0.0,0.0340308,0.856022,0.856022,0.0,0.830292,0.0,0.762091,0.00169716,128.40708192052358,-0.0120008229982603,-0.0259018981302291,-0.0189513605642447,0.0003123175247212,0.0069505375659843,31.741942890119635,4.475518551038748,0.007959794807491982,-1.8857255378758964,0.49667627947829995,1,1,0,0
150,68.65601970408675,36.10011886167934,7.243142612652738,0.0,0.0701794,0.800256,0.786594,0.786594,0.0,0.0187211,0.0,0.00122184,0.799861,0.0187211,0.799861,0.801757,0.0337548,0.0,0.0,0.0337548,0.799845,0.799845,0.0,0.0760718,0.0,0.0158882,0.00169331,102.48380208259962,-0.0121456619462287,-0.0391449183813062,-0.0256452901637675,0.0004681615595369,0.0134996282175387,31.804750919521652,-0.3423561968096578,1.6150725900191385,-0.8930267637037836,1.3345786108046689,3,3,0,0
174,38.601464874097005,60.91811752631579,10.912329393177156,0.0,0.00521157,0.976404,0.962241,0.962241,0.0,0.910609,0.0,0.00122421,0.976008,0.910609,0.976008,0.977908,0.033919,0.0,0.0,0.033919,0.975992,0.975992,0.0,0.96493,0.0,0.903948,0.00169717,203.5995348221676,-0.0102352660256521,-0.0369991418664449,-0.0236172039460485,0.0003792258438048,0.0133819379203963,33.28221283508991,5.347842875669045,-0.24893071402161193,-1.2144968817880955,1.4486054028027016,1,1,0,0
182,71.55194968701649,28.84767280226338,10.865819440690188,0.0,0.76596,0.907494,0.896349,0.896349,0.0,0.0142585,0.0,0.00122787,0.907099,0.0142585,0.907099,0.909,0.0336154,0.0,0.0,0.0336154,0.907084,0.907084,0.0,0.0688764,0.0,0.0114406,0.00169054,105.62149013214662,-0.0205084547981532,-0.0582599219197198,-0.0393841883589365,0.0011952247913418,0.0188757335607833,32.36337109927271,-1.021901365060825,4.733696272338373,1.7064327817148268,1.6987692967579708,2,2,0,0
183,70.2136995614035,32.90187821138211,11.14341569499432,0.0,0.688795,0.965933,0.952404,0.952404,0.0,0.0150883,0.0,0.00122449,0.965537,0.0150883,0.965537,0.967437,0.0342161,0.0,0.0,0.0342161,0.965521,0.965521,0.0,0.0727968,0.0,0.0122546,0.00169684,98.20683444363378,-0.0144364231577617,-0.0508845345110468,-0.0326604788344042,0.0007427022767723,0.0182240556766425,31.205682495141925,-0.9642671252656975,4.372266790082849,0.280685369806404,1.8181041587513267,2,2,0,0
199,60.199578769832144,51.48283341687744,11.272866287073391,0.0,0.00521713,0.962765,0.945407,0.945407,0.0,0.894635,0.0,0.00122421,0.962369,0.894635,0.962369,0.964269,0.0343239,0.0,0.0,0.0343239,0.962353,0.962353,0.0,0.950263,0.0,0.885697,0.00169716,81.22503171118971,-0.0170439674111108,-0.0220290309593005,-0.0195364991852057,0.0003821939398883,0.0024925317740948,31.00592504312966,5.244187656362372,-0.22081076545114398,-1.732439462278275,-0.26045640267632203,1,1,0,0
204,56.79979266415028,55.62222329441713,12.034093977757829,0.0,0.00521187,0.960932,0.946111,0.946111,0.0,0.894795,0.0,0.00122421,0.960536,0.894795,0.960536,0.962436,0.0339031,0.0,0.0,0.0339031,0.96052,0.96052,0.0,0.949384,0.0,0.887773,0.00169715,79.78692468848068,-0.0219180250536401,-0.0305679039496178,-0.026242964501629,0.0006760327014771,0.0043249394479888,32.05360330048393,5.250509985701219,-0.2192775957624628,-0.5216270576769417,-0.15333474462107438,1,1,0,0
207,51.99272937174859,58.98980690373181,13.095759930967652,0.0,0.00521159,0.969497,0.951081,0.951081,0.0,0.903245,0.0,0.00122421,0.969101,0.903245,0.969101,0.971001,0.0342697,0.0,0.0,0.0342697,0.969085,0.969085,0.0,0.958021,0.0,0.892359,0.00169727,175.9159746350186,-0.0333659521618852,-0.0429962933929127,-0.038181122777399,0.001433536365968,0.0048151706155137,32.67269876405703,5.2926644293753595,-0.23525485568911852,1.9147214021221701,-0.5178890444519271,1,1,0,0
208,65.05322175264338,44.926047476770265,11.902487154738292,0.0,0.00568643,0.963322,0.944506,0.944506,0.0,0.763031,0.0,0.00122421,0.962926,0.763031,0.962926,0.964826,0.0370123,0.0,0.0,0.0370123,0.96291,0.96291,0.0,0.828274,0.0,0.75957,0.00169714,87.43503930925147,-0.015515548466334,-0.0350763324173067,-0.0252959404418203,0.0005471260221244,0.0097803919754863,30.216294320796955,4.414591562483751,-0.00796598487898409,-0.8635179883936814,0.6708883455365009,1,1,0,0
212,28.1323263019432,58.08732491479821,14.064080452165957,0.0,0.00521161,0.983779,0.972036,0.972036,0.0,0.914282,0.0,0.00122421,0.983382,0.914282,0.983382,0.985282,0.0376052,0.0,0.0,0.0376052,0.983367,0.983367,0.0,0.972285,0.0,0.910051,0.00169715,140.56562311251818,-0.0248925994956131,-0.0386733745766538,-0.0317829870361335,0.0009658189136405,0.0068903875405203,32.242144420473316,5.369999230783285,-0.26911036760698964,0.52026149513664,0.054665729291750065,1,1,0,0
213,68.05458434909244,38.84687245896627,12.826523868016013,0.0,0.0261504,0.964395,0.948349,0.948349,0.0,0.0424976,0.0,0.00122414,0.963998,0.0424976,0.963998,0.965898,0.0450791,0.0,0.0,0.0450791,0.963983,0.963983,0.0,0.113544,0.0,0.0395538,0.00169704,145.08071886238716,-0.0122402246641041,-0.0357046667172549,-0.0239724456906795,0.000436797962554,0.0117322210265753,29.97213944115524,-0.21151027866599065,1.3116343316363626,-1.1772830905562912,1.0229919594409733,3,3,0,0
224,72.24841363778035,24.05405359591762,13.135584840512854,0.0,0.783826,0.959219,0.948661,0.948661,0.0,0.0136788,0.0,0.00128627,0.95884,0.0136788,0.95884,0.960773,0.032054,0.0,0.0,0.032054,0.958825,0.958825,0.0,0.0657125,0.0,0.0109708,0.00162478,76.40177017074025,-0.0257927458930704,-0.0533979898977036,-0.039595367895387,0.0013739082572739,0.0138026220023165,32.8114194662702,-1.0538936425157517,4.8133070230484805,1.9886557385286288,0.872910017301995,2,2,0,0
227,32.311432400669865,60.306165892820616,15.2907293643692,0.0,0.00521158,0.98352,0.971094,0.971094,0.0,0.908424,0.0,0.00122421,0.983123,0.908424,0.983123,0.985023,0.0431908,0.0,0.0,0.0431908,0.983108,0.983108,0.0,0.972045,0.0,0.903509,0.0016972,182.6209151694672,-0.02894544266996,-0.0451331883265923,-0.0370393154982762,0.0013090835874596,0.0080938728283161,32.661914955303274,5.3238693316044365,-0.27701792505431916,1.6071014809041013,0.05101469665186659,1,1,0,0
228,46.4269067988149,60.88890683126411,14.653917236631155,0.0,0.00521157,0.980236,0.968901,0.968901,0.0,0.914067,0.0,0.00122421,0.97984,0.914067,0.97984,0.98174,0.0343071,0.0,0.0,0.0343071,0.979824,0.979824,0.0,0.968763,0.0,0.910228,0.00169715,198.57082942133113,-0.0322301445363837,-0.0488504337672643,-0.040540289151824,0.0015747472209598,0.0083101446154403,32.68355406982391,5.37479771567335,-0.2575078575271444,2.3741615051535616,-0.06470589117955566,1,1,0,0
